"customer_id","country","age","device","premium_user","orders_count","total_revenue","avg_order_value","sessions_count","avg_session_duration","avg_pages_viewed","is_churned"
"4448","UA","33","desktop","0","0","0","0","31","15.65","5.35","0"
"3426","UA","30","mobile","1","0","0","0","26","16.77","5.96","0"
"295","HU","44","desktop","0","1","3","3","28","11.93","6.14","1"
"2997","UA","58","desktop","1","1","11","11","23","14.33","6.17","1"
"3182","UA","23","tablet","0","1","21","21","22","17.12","5.95","0"
"1152","UA","36","mobile","1","1","35","35","22","10.29","5.14","1"
"2529","CZ","27","mobile","1","1","41","41","26","11.87","5.5","0"
"4156","UA","34","mobile","0","1","41","41","25","10.29","5.92","1"
"2644","UA","45","desktop","0","1","53","53","14","12.87","5.64","1"
"455","HU","54","desktop","0","1","56","56","21","12.65","6.76","1"
"2133","UA","62","mobile","0","2","58","29","25","10.75","6.0","1"
"1168","HU","20","mobile","0","2","62","31","24","19.48","5.88","1"
"3594","PL","69","mobile","0","2","63","32","25","12.39","6.08","1"
"1196","PL","56","desktop","0","2","65","33","18","12.28","5.72","1"
"937","UA","27","desktop","0","2","65","33","25","13.85","5.88","1"
"3771","CZ","58","mobile","0","2","70","35","27","6.65","5.81","0"
"3760","CZ","59","mobile","0","2","71","36","23","12.22","5.43","1"
"3847","UA","57","tablet","1","2","71","36","24","10.36","5.67","1"
"949","UA","67","desktop","1","4","71","18","18","16.48","5.67","1"
"1540","UA","39","mobile","0","1","73","73","16","21.19","5.88","1"
"2215","UA","24","mobile","0","3","74","25","21","12.4","6.62","0"
"4701","UA","54","mobile","0","1","80","80","22","13.9","5.23","1"
"3522","UA","29","desktop","0","1","83","83","21","13.79","5.9","1"
"1642","UA","21","mobile","0","2","86","43","17","13.45","6.88","1"
"2870","UA","65","mobile","0","2","88","44","22","15.78","5.91","1"
"4281","SK","28","desktop","0","3","89","30","16","16.88","5.94","1"
"2404","UA","26","tablet","0","2","93","47","19","17.52","6.53","1"
"3206","SK","31","mobile","0","2","94","47","16","11.38","5.5","1"
"2495","CZ","35","mobile","0","2","95","48","22","13.86","5.86","0"
"702","HU","69","desktop","1","1","97","97","34","14.06","5.91","1"
"3570","HU","34","mobile","0","2","97","49","18","7.54","5.0","1"
"1478","UA","61","mobile","0","1","103","103","23","12.91","5.39","1"
"1323","UA","45","desktop","1","2","105","53","22","16.05","5.82","1"
"3018","UA","50","desktop","0","3","107","36","32","12.67","6.13","1"
"1004","UA","70","desktop","0","2","108","54","29","13.03","5.86","0"
"2914","UA","65","desktop","1","3","108","36","22","17.44","5.59","1"
"680","CZ","57","desktop","0","3","110","37","19","21.21","6.26","1"
"1843","UA","67","mobile","0","2","111","56","27","10.77","6.63","1"
"709","UA","60","desktop","1","2","111","56","21","13.46","6.29","1"
"37","UA","41","desktop","0","4","111","28","17","13.49","6.35","0"
"3721","PL","46","mobile","1","2","112","56","26","13.1","5.77","1"
"1745","PL","60","mobile","1","4","114","29","21","13.3","5.86","1"
"477","UA","55","desktop","0","1","115","115","31","14.62","6.61","1"
"4064","UA","34","desktop","0","3","116","39","16","13.04","6.06","0"
"3180","SK","36","mobile","0","4","116","29","30","10.56","6.5","1"
"2733","HU","22","mobile","0","3","117","39","26","13.55","5.92","1"
"1254","PL","32","tablet","0","3","117","39","19","10.37","5.58","1"
"1764","PL","29","mobile","1","3","119","40","10","11.75","6.7","1"
"1604","UA","19","mobile","0","2","120","60","17","10.32","6.71","1"
"1525","HU","23","mobile","0","4","121","30","34","12.93","6.12","1"
"4511","UA","26","desktop","1","2","123","62","31","15.98","5.94","1"
"3336","HU","42","mobile","0","2","124","62","25","13.88","6.08","1"
"3343","SK","49","desktop","0","2","124","62","31","11.03","5.9","0"
"869","PL","65","mobile","0","3","124","41","24","14.07","5.83","1"
"3654","UA","51","mobile","0","5","127","25","24","11.48","5.58","1"
"797","SK","53","mobile","0","3","127","42","24","15.8","5.58","0"
