customer_id,age,country,device,premium_user,signup_date
1,57,UA,desktop,0,2024-04-12
2,22,UA,mobile,0,2025-03-11
3,38,PL,tablet,0,2026-05-10
4,31,HU,mobile,1,2024-09-27
5,21,SK,desktop,0,2024-04-16
6,40,SK,desktop,0,2024-03-12
7,59,CZ,mobile,0,2025-12-01
8,37,UA,mobile,1,2024-01-21
9,32,UA,mobile,0,2025-09-06
10,67,HU,mobile,0,2024-05-01
11,69,UA,tablet,0,2025-04-11
12,62,UA,tablet,0,2024-08-02
13,46,CZ,tablet,0,2024-11-26
14,25,UA,desktop,0,2025-04-03
15,58,UA,mobile,0,2024-03-28
16,65,HU,tablet,1,2025-01-07
17,36,SK,tablet,1,2024-04-09
18,65,UA,mobile,0,2026-05-21
19,56,HU,mobile,0,2025-10-25
20,63,CZ,mobile,0,2024-05-10
21,45,CZ,mobile,0,2025-10-23
22,63,UA,mobile,0,2024-11-04
23,44,UA,tablet,1,2026-02-08
24,21,CZ,tablet,0,2024-12-09
25,32,SK,mobile,0,2025-05-06
26,52,CZ,mobile,0,2025-02-17
27,54,UA,desktop,1,2026-03-16
28,18,UA,desktop,1,2025-01-20
29,20,SK,mobile,0,2024-07-10
30,64,UA,desktop,0,2024-10-03
31,41,PL,desktop,0,2024-06-09
32,44,UA,tablet,0,2025-04-04
33,57,UA,mobile,0,2024-11-09
34,53,CZ,mobile,1,2024-01-22
35,51,CZ,tablet,0,2024-09-09
36,46,UA,mobile,0,2026-01-17
37,41,UA,desktop,0,2026-05-06
38,41,SK,mobile,0,2025-07-14
39,59,UA,mobile,0,2025-04-19
40,21,PL,mobile,0,2024-02-28
41,20,HU,mobile,0,2025-05-25
42,51,UA,tablet,0,2025-11-12
43,66,HU,mobile,1,2025-04-20
44,40,UA,desktop,0,2025-11-30
45,70,PL,desktop,0,2026-02-21
46,69,UA,mobile,0,2024-07-08
47,40,HU,desktop,0,2025-11-17
48,62,UA,mobile,1,2025-07-16
49,22,UA,desktop,0,2026-05-25
50,48,HU,desktop,0,2025-07-20
51,70,PL,mobile,1,2024-08-31
52,58,PL,mobile,1,2026-04-11
53,23,UA,desktop,0,2025-05-19
54,54,CZ,tablet,0,2024-05-10
55,27,UA,mobile,0,2025-04-29
56,57,UA,desktop,0,2026-03-29
57,24,PL,mobile,0,2025-10-08
58,56,UA,desktop,0,2024-01-21
59,55,HU,mobile,0,2026-04-20
60,38,HU,desktop,0,2024-06-15
61,37,CZ,mobile,1,2024-09-30
62,20,SK,desktop,1,2025-01-22
63,68,CZ,desktop,0,2025-08-23
64,39,UA,desktop,0,2024-11-11
65,64,SK,desktop,0,2024-01-14
66,21,UA,mobile,1,2024-08-29
67,45,UA,desktop,1,2026-02-15
68,29,SK,desktop,1,2024-12-11
69,55,PL,tablet,1,2025-07-18
70,68,SK,mobile,0,2026-06-16
71,53,UA,mobile,1,2024-12-05
72,64,CZ,mobile,0,2024-04-01
73,58,UA,mobile,0,2025-01-01
74,22,CZ,mobile,0,2025-03-30
75,30,SK,desktop,0,2025-03-03
76,40,PL,desktop,1,2025-05-23
77,67,UA,tablet,0,2026-02-14
78,47,UA,mobile,1,2024-02-04
79,54,UA,mobile,0,2024-07-24
80,42,CZ,desktop,0,2024-03-21
81,65,HU,mobile,0,2025-07-15
82,44,UA,mobile,0,2026-05-21
83,68,CZ,desktop,0,2025-01-22
84,31,SK,mobile,0,2024-01-02
85,65,PL,mobile,1,2025-01-24
86,64,CZ,desktop,0,2025-07-19
87,53,SK,mobile,0,2024-04-15
88,56,UA,desktop,1,2026-02-10
89,33,UA,mobile,0,2026-04-01
90,39,UA,desktop,0,2025-04-21
91,38,HU,mobile,0,2025-12-03
92,38,HU,desktop,0,2025-02-05
93,25,SK,mobile,0,2025-12-30
94,66,UA,desktop,0,2025-07-09
95,33,PL,mobile,0,2024-06-10
96,48,UA,mobile,0,2024-07-20
97,59,UA,desktop,0,2024-09-26
98,27,CZ,mobile,0,2026-05-12
99,49,HU,mobile,1,2026-03-26
100,51,HU,mobile,0,2024-09-27
101,26,CZ,mobile,0,2025-03-31
102,34,UA,mobile,1,2025-04-06
103,28,UA,mobile,1,2025-12-27
104,49,UA,mobile,1,2024-09-08
105,27,SK,desktop,1,2025-12-02
106,39,SK,mobile,0,2024-10-22
107,34,UA,mobile,0,2025-12-25
108,21,UA,tablet,0,2025-12-20
109,65,UA,desktop,0,2026-01-18
110,69,UA,mobile,0,2024-12-03
111,64,PL,mobile,0,2026-05-28
112,42,UA,tablet,1,2024-02-22
113,38,PL,mobile,0,2026-03-02
114,54,SK,mobile,0,2024-08-04
115,55,PL,mobile,0,2026-02-02
116,66,UA,desktop,0,2024-07-06
117,18,UA,mobile,1,2025-01-14
118,42,PL,desktop,1,2025-05-07
119,68,UA,desktop,1,2024-02-10
120,53,UA,mobile,0,2024-06-05
121,34,PL,desktop,1,2024-01-15
122,58,PL,mobile,0,2026-03-23
123,41,SK,desktop,1,2024-03-05
124,19,UA,mobile,0,2026-05-06
125,57,SK,mobile,0,2026-04-18
126,32,UA,mobile,1,2025-06-04
127,49,UA,mobile,0,2024-12-09
128,56,PL,mobile,1,2024-05-08
129,23,PL,mobile,0,2025-10-09
130,18,HU,mobile,1,2025-04-16
131,64,CZ,desktop,1,2024-03-03
132,40,HU,mobile,0,2024-05-18
133,56,HU,desktop,0,2025-05-13
134,34,CZ,mobile,0,2025-08-15
135,51,PL,mobile,1,2025-01-26
136,58,PL,mobile,0,2025-11-05
137,46,HU,mobile,0,2025-02-22
138,26,SK,desktop,0,2024-10-15
139,30,UA,mobile,0,2025-01-13
140,23,SK,tablet,0,2026-02-11
141,23,UA,tablet,0,2025-05-04
142,37,PL,mobile,1,2024-08-18
143,69,UA,desktop,0,2024-02-10
144,70,CZ,mobile,0,2024-01-28
145,20,SK,mobile,0,2024-05-14
146,34,UA,desktop,0,2024-07-19
147,66,UA,mobile,1,2026-04-19
148,29,UA,mobile,0,2026-02-18
149,65,CZ,mobile,0,2024-02-02
150,64,UA,mobile,0,2024-02-17
151,62,UA,mobile,1,2025-05-17
152,18,UA,mobile,1,2025-02-10
153,34,PL,mobile,0,2025-07-27
154,20,UA,mobile,0,2025-12-28
155,43,CZ,desktop,0,2026-03-15
156,32,UA,mobile,0,2024-04-08
157,53,CZ,desktop,0,2025-11-14
158,49,UA,desktop,1,2026-05-21
159,49,PL,desktop,1,2025-12-26
160,21,UA,desktop,1,2025-06-30
161,35,CZ,mobile,0,2026-01-08
162,66,HU,mobile,0,2025-09-04
163,36,HU,mobile,0,2025-04-06
164,60,PL,tablet,0,2025-10-04
165,69,PL,desktop,0,2026-02-07
166,52,SK,mobile,0,2024-01-05
167,57,CZ,mobile,0,2024-08-05
168,31,UA,tablet,0,2025-05-17
169,50,SK,mobile,0,2026-02-05
170,31,PL,mobile,0,2025-02-01
171,51,UA,mobile,0,2026-05-20
172,21,UA,tablet,0,2026-03-05
173,41,UA,mobile,0,2025-01-27
174,46,PL,mobile,0,2024-07-25
175,36,UA,desktop,1,2024-01-15
176,23,UA,mobile,1,2026-05-07
177,50,UA,desktop,1,2025-07-07
178,66,PL,mobile,0,2026-06-10
179,57,CZ,mobile,0,2025-04-05
180,36,UA,desktop,0,2025-11-21
181,70,UA,tablet,0,2025-07-28
182,18,UA,mobile,0,2026-05-13
183,22,HU,mobile,0,2026-01-12
184,44,PL,desktop,0,2024-08-28
185,33,PL,mobile,1,2025-07-17
186,23,UA,tablet,0,2024-04-05
187,57,CZ,tablet,0,2026-06-18
188,30,PL,mobile,1,2026-01-03
189,65,UA,tablet,1,2025-04-29
190,52,UA,mobile,0,2025-02-10
191,36,UA,desktop,1,2024-08-18
192,29,SK,mobile,0,2026-01-18
193,33,SK,desktop,0,2025-10-16
194,60,CZ,desktop,0,2024-06-19
195,27,CZ,desktop,0,2025-06-24
196,42,UA,tablet,0,2024-02-05
197,37,PL,mobile,0,2025-06-08
198,48,CZ,mobile,0,2024-06-08
199,21,UA,desktop,0,2026-04-18
200,61,SK,desktop,0,2025-11-29
201,40,UA,tablet,1,2024-08-30
202,19,UA,tablet,0,2024-03-26
203,39,CZ,mobile,0,2026-03-06
204,68,CZ,mobile,0,2025-07-31
205,54,CZ,mobile,0,2025-11-12
206,25,UA,desktop,0,2025-07-10
207,24,SK,mobile,0,2025-07-27
208,31,PL,desktop,1,2025-10-07
209,20,PL,mobile,0,2026-03-06
210,67,HU,mobile,0,2024-01-28
211,33,CZ,mobile,0,2025-09-11
212,36,UA,mobile,0,2025-07-09
213,68,SK,desktop,0,2024-12-05
214,35,UA,mobile,1,2026-03-08
215,69,UA,mobile,1,2024-11-26
216,33,UA,mobile,0,2025-10-01
