order_id,customer_id,order_date,order_value,product_category,payment_method,status
1,1891,2024-08-13,146.39,home,cash,completed
2,3126,2025-08-08,36.18,sports,bank_transfer,completed
3,942,2026-06-11,134.7,clothing,card,completed
4,1616,2024-12-16,43.22,beauty,paypal,completed
5,1969,2026-05-25,46.74,clothing,card,completed
6,3223,2024-08-23,40.73,clothing,bank_transfer,completed
7,4151,2026-05-13,83.27,sports,cash,completed
8,1472,2026-03-19,23.91,home,card,completed
9,1059,2025-01-03,57.83,home,bank_transfer,completed
10,1007,2025-09-04,209.77,beauty,paypal,completed
11,3191,2025-01-23,48.67,beauty,paypal,completed
12,1221,2025-09-04,56.32,beauty,card,completed
13,4662,2025-10-24,132.58,home,card,completed
14,4867,2025-02-13,56.06,home,bank_transfer,completed
15,1798,2025-01-15,101.75,sports,card,completed
16,4974,2025-03-25,10.48,sports,paypal,completed
17,2872,2026-02-08,70.59,electronics,card,completed
18,514,2025-10-18,89.21,clothing,card,refunded
19,1618,2026-05-04,78.11,electronics,card,completed
20,4518,2026-03-13,44.26,electronics,cash,refunded
21,4613,2026-07-04,39.86,clothing,card,completed
22,3758,2026-05-25,67.39,clothing,card,completed
23,2033,2026-03-01,110.23,home,paypal,completed
24,3211,2026-07-01,39.51,home,paypal,completed
25,705,2025-08-14,46.13,electronics,paypal,completed
26,1674,2026-01-06,65.53,electronics,card,completed
27,3700,2024-11-20,87.44,beauty,card,completed
28,2092,2026-03-31,21.54,electronics,cash,completed
29,4954,2024-11-09,15.48,electronics,paypal,completed
30,2849,2025-08-27,77.6,sports,cash,completed
31,4315,2026-01-28,52.32,beauty,cash,completed
32,4664,2026-06-18,63.95,sports,paypal,completed
33,1778,2024-06-20,6.01,sports,cash,completed
34,4354,2024-08-11,62.62,sports,card,completed
35,893,2026-01-03,103.67,clothing,paypal,completed
36,972,2025-07-07,34.4,beauty,card,completed
37,103,2026-05-13,65.99,clothing,cash,completed
38,1108,2025-08-18,93.94,sports,bank_transfer,completed
39,3247,2025-06-08,193.41,clothing,paypal,completed
40,3713,2026-04-26,40.72,beauty,card,completed
41,3418,2025-04-04,51.14,sports,card,completed
42,4152,2025-11-19,59.72,sports,card,cancelled
43,3660,2025-12-30,55.79,clothing,paypal,refunded
44,4927,2025-03-11,51.65,home,bank_transfer,refunded
45,920,2025-10-03,17.11,clothing,card,completed
46,4553,2025-05-11,61.98,clothing,bank_transfer,completed
47,4228,2025-03-03,61.82,electronics,card,completed
48,4589,2025-04-22,11.94,clothing,paypal,completed
49,2158,2025-12-01,16.17,home,card,cancelled
50,582,2024-06-16,7.76,home,card,completed
51,796,2024-11-30,105.06,home,bank_transfer,cancelled
52,3198,2026-07-08,127.24,electronics,card,completed
53,1884,2024-12-10,84.48,clothing,card,completed
54,3368,2024-06-14,136.24,home,cash,completed
55,810,2024-06-24,40.38,sports,card,completed
56,2934,2026-01-16,11.17,sports,card,completed
57,3269,2025-01-22,114.08,electronics,cash,completed
58,4869,2026-07-17,36.27,home,card,completed
59,2985,2026-06-26,26.15,clothing,card,completed
60,573,2025-10-16,135.35,beauty,card,completed
61,1207,2025-02-10,45.76,sports,bank_transfer,cancelled
62,4905,2025-06-12,125.9,home,card,completed
63,4975,2025-04-11,141.61,home,card,completed
64,3081,2025-04-03,34.95,sports,bank_transfer,completed
65,2461,2024-09-17,92.03,home,card,completed
66,1742,2025-03-02,96.54,beauty,bank_transfer,completed
67,4006,2025-04-14,118.34,clothing,card,completed
68,4926,2026-07-07,46.48,home,card,completed
69,2614,2025-01-31,17.69,sports,card,completed
70,1716,2026-07-18,63.77,sports,card,completed
71,1570,2025-07-27,41.74,home,card,completed
72,677,2024-10-09,96.02,sports,paypal,completed
73,1834,2025-07-30,80.78,clothing,paypal,completed
74,2514,2024-10-23,151.94,clothing,bank_transfer,cancelled
75,801,2025-05-09,71.8,clothing,cash,completed
76,1142,2025-01-05,35.78,home,card,cancelled
77,3053,2026-01-06,97.57,sports,bank_transfer,completed
78,2032,2024-12-14,34.84,electronics,card,completed
79,1509,2026-01-16,86.18,home,card,refunded
80,1111,2026-07-23,14.02,electronics,cash,completed
81,4330,2026-02-08,41.83,electronics,card,completed
82,913,2026-02-02,109.77,sports,card,completed
83,1056,2026-04-27,82.39,clothing,card,completed
84,4190,2024-08-17,34.86,electronics,card,completed
85,1751,2026-03-17,63.95,clothing,paypal,completed
86,3172,2025-06-06,42.54,home,card,completed
87,4154,2024-09-03,101.74,electronics,paypal,completed
88,3013,2025-06-24,71.64,clothing,card,completed
89,3429,2025-10-28,20.44,sports,paypal,completed
90,3563,2024-07-17,110.95,beauty,card,completed
91,357,2024-11-05,164.23,clothing,card,completed
92,4392,2026-06-21,48.46,beauty,paypal,completed
93,4621,2026-07-20,34.85,clothing,paypal,completed
94,1618,2025-02-26,17.04,sports,card,completed
95,1624,2025-07-27,42.73,sports,card,completed
96,1666,2024-06-28,4.63,home,cash,completed
97,3200,2024-11-24,107.34,electronics,cash,completed
98,4497,2024-08-26,90.83,beauty,card,completed
99,1596,2026-04-18,23.94,home,card,completed
100,1990,2026-05-20,25.4,electronics,card,completed
101,2787,2026-01-08,85.97,electronics,card,completed
102,529,2026-06-28,16.59,clothing,paypal,completed
103,2605,2025-02-23,163.63,home,bank_transfer,completed
104,3196,2024-07-24,8.01,home,card,completed
105,2408,2024-08-22,83.84,clothing,card,completed
106,64,2025-11-26,40.36,beauty,card,completed
107,3961,2025-06-20,52.01,electronics,card,completed
108,2813,2025-11-05,72.7,electronics,cash,completed
109,2822,2025-01-09,11.5,beauty,card,completed
110,4028,2025-12-19,76.68,beauty,paypal,completed
111,102,2025-03-13,20.41,home,paypal,completed
112,3349,2026-01-01,37.81,electronics,card,completed
113,3299,2025-08-18,115.69,electronics,card,refunded
114,3095,2024-08-28,110.19,clothing,card,completed
115,2892,2026-01-31,12.71,clothing,paypal,completed
116,3136,2025-11-11,35.65,home,paypal,completed
117,1181,2024-11-08,18.27,home,paypal,completed
118,2887,2026-07-07,78.59,clothing,card,completed
119,2729,2024-11-05,248.75,beauty,card,completed
120,2693,2025-02-24,144.08,clothing,bank_transfer,completed
121,399,2025-06-15,67.81,electronics,card,completed
122,405,2024-07-02,58.46,clothing,card,completed
123,2874,2024-08-26,37.91,beauty,paypal,completed
124,3269,2024-09-01,21.02,beauty,card,completed
125,2695,2025-10-23,52.3,beauty,bank_transfer,completed
126,2083,2026-01-16,54.32,electronics,paypal,completed
127,2468,2026-07-20,125.82,beauty,card,completed
128,4473,2025-10-29,23.55,clothing,card,completed
129,4316,2024-08-28,59.6,sports,cash,completed
130,1922,2024-11-01,83.19,clothing,card,completed
131,3960,2026-01-15,64.81,sports,cash,refunded
132,1541,2026-05-05,32.02,home,paypal,completed
133,2390,2024-11-05,123.26,electronics,bank_transfer,completed
134,4849,2025-07-23,149.52,home,paypal,completed
135,2464,2025-02-08,67.39,electronics,paypal,completed
136,3369,2025-03-16,88.83,electronics,cash,completed
137,2986,2026-07-08,23.5,electronics,card,completed
138,680,2024-11-06,40.68,clothing,card,completed
139,748,2025-04-08,73.12,clothing,cash,completed
140,2854,2025-12-26,113.02,home,card,completed
141,1322,2026-08-08,100.15,clothing,cash,completed
142,3749,2026-08-01,37.29,sports,paypal,cancelled
143,4151,2026-01-02,48.29,electronics,paypal,completed
144,4790,2025-08-09,70.11,home,card,completed
145,534,2025-05-20,213.48,electronics,paypal,completed
146,1819,2025-02-20,85.48,electronics,card,completed
147,4201,2024-06-08,47.97,home,paypal,completed
148,2342,2024-09-15,48.61,clothing,card,completed
149,2423,2026-01-26,69.53,electronics,bank_transfer,completed
150,4546,2026-06-09,74.72,beauty,card,completed
151,1469,2024-08-08,43.02,home,card,completed
152,4908,2025-08-14,81.91,electronics,paypal,completed
153,4486,2024-10-16,74.82,electronics,paypal,completed
154,1236,2025-05-24,9.32,electronics,bank_transfer,completed
155,2715,2026-03-13,52.6,electronics,card,cancelled
156,1709,2026-02-18,185.64,beauty,card,completed
157,1146,2025-11-02,19.81,clothing,card,completed
158,1476,2024-08-07,10.14,home,card,completed
159,3924,2024-10-24,22.34,electronics,cash,completed
160,2922,2025-02-05,86.53,electronics,cash,completed
161,1856,2025-06-19,26.07,beauty,cash,completed
162,3225,2025-09-11,49.16,beauty,card,completed
163,3965,2025-10-24,9.82,clothing,paypal,completed
164,3380,2026-07-02,24.3,beauty,paypal,completed
165,4939,2025-10-07,36.7,electronics,cash,cancelled
166,1605,2025-10-28,43.14,clothing,card,cancelled
167,3280,2025-05-30,62.16,electronics,cash,completed
168,552,2025-07-04,33.81,sports,card,completed
169,2005,2026-03-02,79.55,sports,card,completed
170,1837,2024-09-28,154.45,electronics,card,cancelled
171,1125,2026-05-13,23.66,beauty,card,cancelled
172,1383,2026-06-20,52.42,clothing,card,completed
173,1771,2024-07-25,187.84,clothing,card,cancelled
174,3864,2024-08-09,20.12,home,bank_transfer,completed
175,3401,2025-10-07,104.34,clothing,card,refunded
176,35,2025-05-22,73.79,home,paypal,completed
177,2205,2025-09-11,21.05,home,card,completed
178,5000,2025-03-15,73.9,beauty,card,cancelled
179,3345,2026-07-14,69.98,electronics,paypal,completed
180,3015,2026-05-23,172.16,home,card,completed
181,4492,2025-01-23,86.26,electronics,card,completed
182,4303,2025-01-04,58.61,electronics,cash,completed
183,1781,2026-05-25,119.87,beauty,paypal,completed
184,1629,2025-11-10,157.67,beauty,card,completed
185,1330,2026-05-26,42.29,electronics,paypal,completed
186,1560,2025-02-25,52.05,clothing,paypal,completed
187,805,2025-04-14,240.75,home,bank_transfer,completed
188,2510,2026-03-20,49.14,clothing,card,completed
189,4348,2025-02-19,135.35,clothing,paypal,completed
190,1291,2026-03-07,5.94,clothing,card,completed
191,4305,2025-05-10,82.31,home,paypal,completed
192,2587,2025-09-20,106.59,electronics,card,completed
193,4931,2025-11-03,57.92,clothing,card,completed
194,2551,2024-07-12,34.25,home,paypal,completed
195,956,2024-06-18,103.81,beauty,bank_transfer,completed
196,4610,2024-12-27,27.82,electronics,cash,completed
197,580,2025-08-06,43.87,electronics,bank_transfer,completed
198,1938,2026-08-05,130.83,sports,card,completed
199,1998,2025-04-26,32.23,clothing,card,completed
200,1666,2025-03-03,181.12,clothing,card,completed
201,2131,2025-07-27,25.3,beauty,card,completed
202,3741,2026-05-28,73.16,home,paypal,completed
203,2501,2026-06-17,142.01,home,card,completed
204,1643,2024-10-26,9.54,home,card,refunded
205,4713,2024-07-20,35.35,home,cash,completed
206,1498,2024-10-11,69.48,electronics,card,completed
207,4603,2026-05-01,22.6,clothing,card,completed
208,3205,2026-01-06,76.13,clothing,bank_transfer,completed
209,622,2024-09-13,36.31,clothing,card,completed
210,3145,2025-03-19,41.95,electronics,bank_transfer,completed
211,1952,2025-01-18,64.76,beauty,card,completed
212,1460,2024-09-09,64.76,clothing,paypal,completed
213,293,2025-02-14,27.1,sports,paypal,completed
214,655,2025-03-19,29.8,clothing,card,completed
215,2985,2024-09-20,92.28,beauty,card,completed
216,3844,2024-07-15,35.26,clothing,bank_transfer,cancelled
217,2805,2025-09-26,85.66,beauty,card,completed
218,2715,2026-02-02,90.9,beauty,bank_transfer,completed
219,1622,2024-11-04,32.97,electronics,card,completed
220,4015,2025-01-11,10.81,home,paypal,completed
221,3254,2024-08-12,99.56,electronics,card,completed
222,2847,2026-01-02,72.11,beauty,card,refunded
223,4881,2024-11-19,44.31,sports,card,refunded
224,4863,2025-07-25,264.17,clothing,card,completed
225,3506,2026-06-06,165.59,home,paypal,completed
226,519,2025-07-19,72.61,home,cash,completed
227,2686,2025-12-13,100.41,sports,card,completed
228,28,2025-01-22,35.55,clothing,cash,cancelled
229,266,2026-02-11,40.38,sports,bank_transfer,completed
230,1307,2026-07-25,38.87,beauty,paypal,completed
231,4054,2026-04-01,13.37,beauty,card,completed
232,3455,2025-01-25,17.82,electronics,card,completed
233,811,2025-06-15,22.67,home,bank_transfer,completed
234,4677,2025-08-31,38.61,beauty,cash,completed
235,3391,2025-10-29,21.99,electronics,bank_transfer,completed
236,611,2024-12-21,46.61,beauty,cash,completed
237,4289,2025-07-24,65.1,clothing,card,completed
238,2275,2024-08-23,165.42,beauty,bank_transfer,cancelled
239,4547,2024-12-31,28.88,home,card,completed
240,203,2025-06-26,77.82,electronics,card,completed
241,402,2025-05-25,90.21,clothing,cash,refunded
242,2028,2025-06-08,33.32,electronics,paypal,completed
243,3851,2025-12-26,74.8,electronics,paypal,completed
244,890,2024-07-28,83.7,sports,card,completed
245,179,2026-04-15,148.83,clothing,card,cancelled
246,1980,2025-08-11,78.15,electronics,paypal,completed
247,2511,2026-07-04,104.47,sports,cash,completed
248,2883,2026-03-11,55.95,clothing,bank_transfer,completed
249,3985,2026-06-20,101.1,clothing,bank_transfer,completed
250,2045,2025-10-31,70.66,sports,cash,completed
251,2984,2026-07-27,129.06,home,card,cancelled
252,351,2024-08-25,55.17,electronics,card,completed
253,4283,2024-10-26,80.69,clothing,card,completed
254,3419,2025-12-28,100.18,electronics,card,completed
