session_id,customer_id,session_date,duration_minutes,pages_viewed,device,traffic_source,converted
1,4970,2025-10-30,11.5,4,desktop,social,1
2,4003,2026-01-27,2.2,6,tablet,paid,0
3,2488,2025-08-27,13.8,5,mobile,paid,0
4,3414,2025-07-10,31.6,4,desktop,organic,0
5,2349,2026-05-13,12.7,6,desktop,social,1
6,635,2025-09-21,5.3,3,desktop,social,1
7,4868,2025-03-21,13.9,6,desktop,organic,0
8,3053,2026-01-03,1.4,6,mobile,social,1
9,2436,2026-06-30,22.4,1,desktop,organic,1
10,1069,2026-05-06,30.5,9,mobile,organic,0
11,3283,2025-04-27,9.6,7,tablet,organic,0
12,3257,2026-03-02,2.5,4,desktop,direct,0
13,4082,2024-10-17,13.6,6,mobile,organic,1
14,2321,2024-06-09,4.6,9,mobile,social,0
15,339,2024-08-15,1.3,4,desktop,social,0
16,1714,2025-09-23,2.4,4,mobile,social,0
17,3551,2025-06-26,5.7,4,mobile,organic,0
18,524,2025-07-18,5.0,4,desktop,social,0
19,1969,2025-04-19,5.5,4,mobile,organic,0
20,4757,2024-09-19,35.7,6,mobile,direct,0
21,3299,2024-08-29,14.9,3,mobile,organic,0
22,4499,2025-01-02,3.0,3,mobile,organic,1
23,160,2025-12-21,21.1,7,mobile,paid,1
24,272,2025-08-29,19.0,8,desktop,email,0
25,1302,2025-01-19,4.5,4,mobile,paid,0
26,775,2026-05-03,5.9,10,desktop,direct,0
27,4665,2025-09-04,5.9,5,mobile,paid,0
28,242,2024-10-13,2.0,5,mobile,social,0
29,448,2026-02-09,1.3,3,mobile,organic,0
30,2501,2025-12-26,2.3,5,mobile,paid,0
31,554,2026-01-25,8.3,5,desktop,social,0
32,3565,2025-11-15,2.8,6,desktop,organic,0
33,2866,2025-05-15,3.0,6,mobile,email,0
34,1940,2026-05-16,7.8,3,mobile,email,0
35,1127,2025-04-16,29.7,9,desktop,direct,0
36,2917,2024-06-22,6.6,9,desktop,direct,0
37,1400,2024-06-18,1.8,9,mobile,social,0
38,4851,2025-05-21,2.3,8,desktop,direct,0
